iter	Logloss
0	0.6831886807
1	0.6747875795
2	0.6680057857
3	0.6625974781
4	0.6586003303
5	0.6547045842
6	0.6518074443
7	0.6489810506
8	0.6465077539
9	0.6438880845
10	0.6422956148
11	0.6408987842
12	0.6393883517
13	0.6378943586
14	0.6368139562
15	0.6358398656
16	0.6349524928
17	0.6342130599
18	0.6334043564
19	0.6327047327
20	0.63205633
21	0.6312599017
22	0.6305682584
23	0.6300932312
24	0.6294910419
25	0.6290279695
26	0.6284981738
27	0.6281372783
28	0.6276586721
29	0.6270755676
30	0.6266432575
31	0.6263081363
32	0.6259235832
33	0.6256465992
34	0.6253299579
35	0.6249822418
36	0.6246329389
37	0.6243380515
38	0.6240576282
39	0.6237161645
40	0.6234141915
41	0.6231972658
42	0.6228678106
43	0.6225348391
44	0.6222516825
45	0.6219472057
46	0.6217609117
47	0.6214727692
48	0.621284139
49	0.6210925019
50	0.6208802327
51	0.6204757486
52	0.6202576021
53	0.6200628174
54	0.6198826516
55	0.6197036516
56	0.619573216
57	0.6194399084
58	0.619207536
59	0.618925455
60	0.618686983
61	0.618404718
62	0.6182256741
63	0.6180450442
64	0.6178884622
65	0.617694464
66	0.6175191269
67	0.6173600467
68	0.6171902537
69	0.617079448
70	0.6169440986
71	0.6167730047
72	0.6166058501
73	0.6164029497
74	0.616191066
75	0.615983123
76	0.6158203291
77	0.6154864641
78	0.6153420128
79	0.6151742626
80	0.61501752
81	0.6148847336
82	0.6147786527
83	0.6145853685
84	0.6145068893
85	0.6143047096
86	0.6140908304
87	0.6139710843
88	0.6136703909
89	0.6135641599
90	0.613415835
91	0.612875786
92	0.6127577636
93	0.6126578875
94	0.6124269531
95	0.6122846808
96	0.6121987245
97	0.6120845874
98	0.6118596053
99	0.6117635306
100	0.6116268297
101	0.6114531979
102	0.6113447127
103	0.6112305168
104	0.6110194031
105	0.6109112804
106	0.6107451617
107	0.6105291291
108	0.6104176467
109	0.6103032709
110	0.6101680903
111	0.6101037827
112	0.6100221415
113	0.6099214968
114	0.6098230132
115	0.6096742161
116	0.6095379205
117	0.6094097838
118	0.6092631731
119	0.6091223607
120	0.6090363306
121	0.608925507
122	0.6088332587
123	0.6085498468
124	0.6084480016
125	0.6083376668
126	0.6082413542
127	0.6080297213
128	0.607878647
129	0.6077284505
130	0.6076127549
131	0.607439543
132	0.6073356771
133	0.6071716144
134	0.6070214056
135	0.6069172571
136	0.6067918732
137	0.606621752
138	0.6064524485
139	0.6061923413
140	0.6060246026
141	0.6058319581
142	0.6056858343
143	0.6055831453
144	0.6054226562
145	0.6052705402
146	0.6051274407
147	0.6049907243
148	0.6048887515
149	0.6047639931
150	0.6045857337
151	0.6044257685
152	0.6042701313
153	0.6040483916
154	0.603930961
155	0.6037458877
156	0.6036063756
157	0.6034185405
158	0.6032746199
159	0.6031917558
160	0.6030298236
161	0.6028852344
162	0.602780408
163	0.6026160879
164	0.6024958446
165	0.6023861669
166	0.6022462999
167	0.6021130948
168	0.6018923991
169	0.6017655186
170	0.6016083652
171	0.6014583144
172	0.6012955117
173	0.6010927069
174	0.6009632843
175	0.6008107579
176	0.6006265085
177	0.6005266732
178	0.6003733108
179	0.6001736405
180	0.6000212332
181	0.5998718775
182	0.5997633343
183	0.5996266328
184	0.5995024015
185	0.599330252
186	0.5992482418
187	0.5991179911
188	0.5989876427
189	0.5988647764
190	0.5986361372
191	0.5985575356
192	0.5984657069
193	0.5983161026
194	0.598157844
195	0.5979732129
196	0.5978250928
197	0.5976478464
198	0.5975084279
199	0.5974044325
